Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Delhi,149.88,74,Medium,10-09-2022,1,Milk,Raj,866.01,52.41,45387.5841,29,Tetra Pack,22-08-2022,20-09-2022,625,54.67,34168.75,Kerala,Retail,241,51.26,76.41
Delhi,605.97,48,Small,07-06-2020,10,Ghee,Mother Dairy,401.31,21.99,8824.8069,91,Ambient,04-05-2020,03-08-2020,96,26.04,2499.84,Tamil Nadu,Retail,305,68.57,108.75
Madhya Pradesh,871.77,75,Medium,16-01-2020,4,Yogurt,Dodla Dairy,935.28,44.12,41264.5536,24,Frozen,11-01-2020,04-02-2020,443,46.39,20550.77,Madhya Pradesh,Online,492,93.32,150
Chandigarh,764.12,35,Large,17-12-2021,5,Ice Cream,Mother Dairy,646.52,73.27,47370.5204,26,Frozen,27-11-2021,23-12-2021,636,69.79,44386.44,Chandigarh,Retail,10,35.47,92.49
Uttar Pradesh,772.48,70,Large,06-05-2020,10,Ghee,Amul,300.72,11.32,3404.1504,65,Ambient,15-03-2020,19-05-2020,26,15.57,404.82,Jharkhand,Online,274,63.07,36.53
Rajasthan,187.79,68,Large,02-10-2019,9,Paneer,Sudha,694.53,58.57,40678.6221,11,Refrigerated,14-09-2019,25-09-2019,310,57.7,17887,Chandigarh,Wholesale,384,10.69,163.04
Madhya Pradesh,74.84,67,Large,11-01-2021,8,Buttermilk,Raj,615.92,88.87,54736.8104,11,Refrigerated,27-11-2020,08-12-2020,539,89.44,48208.16,Delhi,Online,76,41.25,165.98
West Bengal,962.11,25,Medium,06-02-2021,7,Lassi,Mother Dairy,722.84,96.16,69508.2944,14,Refrigerated,25-01-2021,08-02-2021,211,92.15,19443.65,Telangana,Retail,511,25.24,121.07
Uttar Pradesh,372.39,35,Large,14-11-2019,2,Butter,Mother Dairy,838.32,10.89,9129.3048,29,Frozen,01-10-2019,30-10-2019,163,13.1,2135.3,Chandigarh,Wholesale,675,14.99,30.8
Chandigarh,569.9,68,Medium,08-09-2020,4,Yogurt,Mother Dairy,952.37,42.22,40209.0614,28,Frozen,02-09-2020,30-09-2020,849,45.82,38901.18,Telangana,Wholesale,103,16.17,88.23
Bihar,539.93,65,Medium,07-09-2021,8,Buttermilk,Mother Dairy,516.61,86.24,44552.4464,7,Refrigerated,22-07-2021,29-07-2021,277,88.22,24436.94,Uttar Pradesh,Online,239,50.18,90.99
Chandigarh,394.52,39,Large,11-03-2020,8,Buttermilk,Sudha,475.2,18.28,8686.656,8,Refrigerated,19-02-2020,27-02-2020,22,23.06,507.32,Gujarat,Wholesale,453,63.4,164.53
Delhi,715.97,28,Large,28-09-2020,7,Lassi,Mother Dairy,822.04,39.35,32347.274,15,Refrigerated,23-09-2020,08-10-2020,258,38.59,9956.22,Karnataka,Online,564,69.75,186.54
Karnataka,194.89,63,Large,12-06-2020,9,Paneer,Mother Dairy,563.42,16.08,9059.7936,11,Refrigerated,30-05-2020,10-06-2020,146,15.02,2192.92,Gujarat,Retail,417,56.22,176.79
Chandigarh,895.51,62,Medium,25-11-2019,9,Paneer,Amul,656.11,60.51,39701.2161,14,Refrigerated,09-11-2019,23-11-2019,578,59.43,34350.54,Chandigarh,Retail,78,33.01,123.93
Jharkhand,296.4,32,Small,17-05-2021,4,Yogurt,Mother Dairy,560.31,22.6,12663.006,29,Frozen,20-04-2021,19-05-2021,545,22.12,12055.4,Maharashtra,Wholesale,15,15.2,111.04
Haryana,877.97,67,Medium,08-11-2021,5,Ice Cream,Dodla Dairy,67.1,65.38,4386.998,27,Frozen,16-09-2021,13-10-2021,18,64.04,1152.72,Bihar,Wholesale,49,15.05,167.46
Karnataka,884.78,36,Small,13-06-2020,1,Milk,Raj,87.55,38.7,3388.185,1,Polythene Packet,25-05-2020,26-05-2020,77,34.09,2624.93,Delhi,Online,10,72.66,91.53
Uttar Pradesh,449.85,41,Large,03-07-2019,1,Milk,Mother Dairy,820.49,77.2,63341.828,1,Polythene Packet,06-05-2019,07-05-2019,299,75.52,22580.48,West Bengal,Online,521,98.41,114.58
Telangana,686.95,59,Large,14-09-2022,3,Cheese,Britannia Industries,916.96,81.66,74878.9536,31,Refrigerated,19-08-2022,19-09-2022,552,85.86,47394.72,Tamil Nadu,Wholesale,364,66.31,114.92
Karnataka,436.97,55,Large,10-10-2022,10,Ghee,Sudha,189.68,37.06,7029.5408,100,Ambient,06-09-2022,15-12-2022,108,32.62,3522.96,Haryana,Online,81,76.86,45.97
Delhi,913.39,56,Medium,02-10-2019,10,Ghee,Mother Dairy,657.18,30.69,20168.8542,136,Ambient,27-09-2019,10-02-2020,412,32.2,13266.4,Telangana,Retail,245,55.88,54.12
Karnataka,839.31,39,Large,03-06-2022,3,Cheese,Britannia Industries,62.08,87.72,5445.6576,67,Refrigerated,27-05-2022,02-08-2022,6,89.33,535.98,Maharashtra,Retail,56,65.82,107.92
Chandigarh,453.28,77,Medium,03-10-2022,2,Butter,Warana,919.93,46.33,42620.3569,40,Frozen,22-09-2022,01-11-2022,209,51.25,10711.25,Chandigarh,Online,710,45.8,147.21
Madhya Pradesh,550.92,83,Large,01-10-2021,10,Ghee,Raj,739.51,23.64,17482.0164,66,Ambient,31-08-2021,05-11-2021,327,24.3,7946.1,Jharkhand,Wholesale,412,40.66,199.71
Karnataka,507.23,46,Large,18-06-2022,1,Milk,Raj,668.48,55.16,36873.3568,28,Tetra Pack,23-04-2022,21-05-2022,359,50.52,18136.68,Chandigarh,Retail,309,13.47,116.52
Tamil Nadu,767.91,16,Large,18-10-2022,6,Curd,Amul,503.15,37.16,18697.054,7,Refrigerated,26-09-2022,03-10-2022,485,33.24,16121.4,Chandigarh,Retail,18,66.94,128.5
Haryana,15.99,27,Small,16-09-2022,2,Butter,Amul,266.12,17.92,4768.8704,32,Frozen,19-07-2022,20-08-2022,225,18.7,4207.5,Haryana,Retail,41,56.43,34.68
Jharkhand,889.62,86,Large,13-04-2019,7,Lassi,Mother Dairy,12.85,40.98,526.593,16,Refrigerated,27-02-2019,15-03-2019,7,43.31,303.17,Madhya Pradesh,Online,5,32.89,163.33
Madhya Pradesh,568.17,83,Medium,19-06-2021,5,Ice Cream,Dodla Dairy,170.78,30.55,5217.329,22,Frozen,03-06-2021,25-06-2021,89,28.1,2500.9,Bihar,Online,81,69.36,71.17
Uttar Pradesh,171.12,13,Medium,14-03-2020,3,Cheese,Amul,229.37,58.8,13486.956,53,Refrigerated,29-01-2020,22-03-2020,150,60.94,9141,Maharashtra,Retail,79,56.67,191.43
Chandigarh,244.86,18,Small,26-12-2019,9,Paneer,Raj,872.22,58.57,51085.9254,13,Refrigerated,18-12-2019,31-12-2019,278,62.19,17288.82,Haryana,Online,594,28.28,95.11
Maharashtra,752.03,43,Medium,13-03-2019,5,Ice Cream,Mother Dairy,233.35,24.66,5754.411,29,Frozen,13-02-2019,14-03-2019,202,26.64,5381.28,Haryana,Wholesale,31,88.78,113.41
Rajasthan,427.22,21,Medium,11-07-2019,8,Buttermilk,Mother Dairy,802.06,12.7,10186.162,8,Refrigerated,08-06-2019,16-06-2019,687,13.76,9453.12,Chandigarh,Retail,115,40.82,68.19
Tamil Nadu,900,22,Large,17-11-2022,8,Buttermilk,Amul,591.36,95.16,56273.8176,13,Refrigerated,23-10-2022,05-11-2022,316,99.2,31347.2,Gujarat,Wholesale,275,11.25,45.47
Kerala,630.56,48,Medium,24-03-2020,1,Milk,Raj,782.62,33.75,26413.425,1,Polythene Packet,18-02-2020,19-02-2020,326,29.93,9757.18,Tamil Nadu,Wholesale,456,39.16,61.82
Delhi,709.56,61,Medium,13-01-2021,6,Curd,Raj,170.75,94.88,16200.76,5,Refrigerated,10-01-2021,15-01-2021,59,96.9,5717.1,Bihar,Wholesale,111,51.24,95.73
Bihar,876.46,21,Medium,06-01-2021,2,Butter,Mother Dairy,196.55,78.27,15383.9685,35,Frozen,14-12-2020,18-01-2021,157,74.43,11685.51,Delhi,Wholesale,39,17.79,67.16
Gujarat,612.82,80,Medium,11-03-2019,2,Butter,Amul,151.17,93.21,14090.5557,25,Refrigerated,06-02-2019,03-03-2019,112,96.44,10801.28,Bihar,Retail,39,12.52,164.22
Delhi,575.84,59,Medium,27-02-2021,9,Paneer,Sudha,17.98,93.13,1674.4774,7,Refrigerated,02-01-2021,09-01-2021,7,92.39,646.73,Maharashtra,Retail,10,68.91,192.04
Chandigarh,447.39,52,Medium,07-09-2021,4,Yogurt,Dodla Dairy,571.41,27.67,15810.9147,30,Refrigerated,01-09-2021,01-10-2021,267,28.44,7593.48,Karnataka,Online,304,33.59,174.05
Bihar,729.31,60,Small,02-02-2021,3,Cheese,Amul,531.48,43.59,23167.2132,61,Frozen,20-01-2021,22-03-2021,342,42.04,14377.68,Haryana,Wholesale,189,40.27,161.47
Uttar Pradesh,345.13,41,Large,01-02-2020,1,Milk,Raj,261.64,77.83,20363.4412,1,Polythene Packet,17-01-2020,18-01-2020,187,78.58,14694.46,Maharashtra,Online,74,85.28,104.99
Haryana,340.97,42,Small,26-12-2019,7,Lassi,Amul,706.92,86.99,61494.9708,16,Refrigerated,21-11-2019,07-12-2019,122,88.32,10775.04,Delhi,Online,584,46.77,78.53
Delhi,521.99,17,Medium,12-06-2022,9,Paneer,Sudha,417.44,23.8,9935.072,10,Refrigerated,20-05-2022,30-05-2022,203,25.54,5184.62,Tamil Nadu,Retail,214,94.2,147.37
Delhi,82.96,87,Large,22-11-2022,10,Ghee,Sudha,326.74,88.75,28998.175,135,Ambient,21-10-2022,05-03-2023,138,86.24,11901.12,Karnataka,Wholesale,188,71.04,164.07
Karnataka,804.02,80,Small,12-10-2019,9,Paneer,Mother Dairy,509.23,61.89,31516.2447,14,Refrigerated,09-10-2019,23-10-2019,373,66.35,24748.55,Delhi,Online,136,19.99,74.29
Delhi,106.87,20,Medium,14-02-2022,5,Ice Cream,Palle2patnam,829.99,19.37,16076.9063,27,Frozen,05-01-2022,01-02-2022,48,21.21,1018.08,Bihar,Online,781,90.1,55.64
Jharkhand,955.76,51,Medium,02-04-2020,6,Curd,Amul,349.63,29.51,10317.5813,7,Refrigerated,20-02-2020,27-02-2020,198,28.49,5641.02,Delhi,Online,151,30.3,124.96
Telangana,88.18,74,Medium,02-09-2019,2,Butter,Amul,226.32,40.04,9061.8528,32,Refrigerated,24-08-2019,25-09-2019,84,38.89,3266.76,Rajasthan,Online,142,54.05,154.66
Bihar,720.03,72,Medium,16-07-2022,8,Buttermilk,Mother Dairy,656.49,18.29,12007.2021,13,Refrigerated,30-05-2022,12-06-2022,459,19.72,9051.48,Karnataka,Retail,197,24.85,163.47
Karnataka,110.1,47,Large,14-04-2022,7,Lassi,Sudha,537.89,91.92,49442.8488,13,Refrigerated,06-03-2022,19-03-2022,182,94.75,17244.5,Gujarat,Online,355,66.36,30.4
Telangana,539.06,93,Large,01-09-2020,4,Yogurt,Amul,983.89,45.8,45062.162,27,Refrigerated,03-08-2020,30-08-2020,495,48.75,24131.25,Karnataka,Wholesale,488,26.95,195.32
Tamil Nadu,74.81,78,Small,06-10-2021,3,Cheese,Passion Cheese,893.65,59.28,52975.572,37,Refrigerated,01-09-2021,08-10-2021,631,56.44,35613.64,Chandigarh,Retail,262,78.67,55.75
Chandigarh,238.86,97,Large,05-03-2022,10,Ghee,Amul,838.5,33.46,28056.21,126,Ambient,07-01-2022,13-05-2022,332,38.23,12692.36,Telangana,Retail,506,21.65,119.9
Karnataka,985.65,89,Small,09-07-2021,10,Ghee,Raj,210.68,16.06,3383.5208,145,Ambient,22-06-2021,14-11-2021,24,14.43,346.32,Rajasthan,Wholesale,186,41.46,139.08
Rajasthan,901.86,18,Medium,24-04-2020,2,Butter,Warana,403.35,19.94,8042.799,38,Refrigerated,15-03-2020,22-04-2020,183,21.83,3994.89,Delhi,Online,220,68.73,102.13
Delhi,872.61,26,Large,15-12-2021,3,Cheese,Britannia Industries,395.71,69.12,27351.4752,88,Frozen,11-12-2021,09-03-2022,193,65.84,12707.12,Rajasthan,Online,202,93.51,182.08
West Bengal,650.8,67,Small,27-08-2019,8,Buttermilk,Mother Dairy,53.6,23.56,1262.816,7,Refrigerated,06-07-2019,13-07-2019,30,25.16,754.8,Haryana,Wholesale,23,15.16,158.72
Haryana,99.35,37,Medium,12-01-2022,7,Lassi,Mother Dairy,925.96,65.4,60557.784,16,Refrigerated,20-11-2021,06-12-2021,397,61.18,24288.46,Gujarat,Wholesale,528,23.48,141.63
Uttar Pradesh,692.36,80,Medium,19-06-2019,3,Cheese,Britannia Industries,326.65,43.21,14114.5465,70,Refrigerated,19-05-2019,28-07-2019,20,45.65,913,Rajasthan,Online,306,77.12,98.19
Chandigarh,10.32,24,Medium,27-03-2020,7,Lassi,Sudha,721.45,33.02,23822.279,17,Refrigerated,23-02-2020,11-03-2020,651,37.04,24113.04,Uttar Pradesh,Online,70,23.03,20.45
Bihar,281.76,70,Small,12-01-2020,9,Paneer,Sudha,248.69,87.32,21715.6108,13,Refrigerated,04-12-2019,17-12-2019,36,87.8,3160.8,Chandigarh,Retail,212,77.22,175.94
Uttar Pradesh,108.77,33,Large,11-02-2019,5,Ice Cream,Palle2patnam,663.41,68.75,45609.4375,21,Frozen,19-12-2018,09-01-2019,114,72.55,8270.7,Maharashtra,Online,549,66.49,160.74
Tamil Nadu,207.78,63,Small,09-04-2021,3,Cheese,Passion Cheese,395.78,41.2,16306.136,53,Frozen,05-04-2021,28-05-2021,82,44.9,3681.8,Madhya Pradesh,Retail,313,69.83,61.26
Karnataka,231.26,96,Large,01-04-2020,6,Curd,Sudha,60.99,83.96,5120.7204,6,Refrigerated,27-02-2020,04-03-2020,20,81.7,1634,Tamil Nadu,Wholesale,40,18.29,83.66
Gujarat,337.12,11,Large,15-07-2021,6,Curd,Raj,77.12,46.97,3622.3264,5,Refrigerated,23-06-2021,28-06-2021,26,49.18,1278.68,Chandigarh,Wholesale,51,68.81,54.23
Gujarat,707.52,24,Medium,21-04-2020,10,Ghee,Sudha,186.77,59.73,11155.7721,74,Ambient,16-03-2020,29-05-2020,185,57.12,10567.2,Rajasthan,Wholesale,1,25.51,62.61
West Bengal,424.41,84,Medium,01-09-2021,10,Ghee,Amul,84.83,38.38,3255.7754,126,Ambient,19-07-2021,22-11-2021,40,35.5,1420,Haryana,Retail,44,81.18,135.9
Karnataka,336.36,100,Large,23-10-2019,2,Butter,Parag Milk Foods,726.93,88.62,64420.5366,35,Refrigerated,31-08-2019,05-10-2019,284,90.86,25804.24,Chandigarh,Wholesale,442,19.79,116.7
Rajasthan,158.15,78,Medium,06-07-2021,5,Ice Cream,Dodla Dairy,658.95,39.95,26325.0525,21,Frozen,24-05-2021,14-06-2021,331,35.7,11816.7,Rajasthan,Online,327,92.74,91.5
Rajasthan,356.71,84,Small,27-06-2021,3,Cheese,Britannia Industries,243.79,35.04,8542.4016,39,Refrigerated,13-06-2021,22-07-2021,13,37.59,488.67,West Bengal,Online,230,75.15,118.12
Chandigarh,515.04,87,Large,23-06-2019,4,Yogurt,Dodla Dairy,875.97,49.79,43614.5463,22,Frozen,03-06-2019,25-06-2019,713,47.52,33881.76,Maharashtra,Retail,162,53.72,126.61
Madhya Pradesh,911.37,49,Small,24-11-2019,2,Butter,Parag Milk Foods,546.72,13.18,7205.7696,26,Frozen,06-10-2019,01-11-2019,141,15.51,2186.91,Chandigarh,Retail,405,51.21,174.63
Haryana,876.86,18,Small,10-02-2022,2,Butter,Amul,188.05,23.02,4328.911,28,Frozen,09-01-2022,06-02-2022,57,21.18,1207.26,Tamil Nadu,Wholesale,131,46.7,173.41
Madhya Pradesh,204.74,65,Medium,27-12-2021,9,Paneer,Sudha,114.24,66.96,7649.5104,12,Refrigerated,20-12-2021,01-01-2022,3,63.9,191.7,Rajasthan,Retail,111,34.93,84.32
Kerala,734.14,51,Medium,19-01-2019,2,Butter,Warana,954.95,33.81,32286.8595,35,Frozen,18-12-2018,22-01-2019,409,33.31,13623.79,Uttar Pradesh,Wholesale,545,66.93,40.36
Chandigarh,189.49,63,Large,13-06-2019,9,Paneer,Sudha,544,69.49,37802.56,12,Refrigerated,15-05-2019,27-05-2019,426,67.93,28938.18,Gujarat,Wholesale,118,31.94,173.21
West Bengal,550.97,77,Small,01-05-2020,9,Paneer,Amul,798.14,87.37,69733.4918,9,Refrigerated,15-04-2020,24-04-2020,604,83.96,50711.84,Haryana,Wholesale,194,23.34,64.25
Tamil Nadu,223.67,83,Small,18-07-2021,7,Lassi,Sudha,366.6,97.62,35787.492,15,Refrigerated,05-06-2021,20-06-2021,196,97.48,19106.08,Maharashtra,Online,170,39.89,84.37
West Bengal,222.99,91,Small,03-07-2019,2,Butter,Mother Dairy,415.89,89.3,37138.977,26,Refrigerated,01-07-2019,27-07-2019,246,86.1,21180.6,Maharashtra,Online,169,91.1,104.54
Chandigarh,83.74,42,Medium,09-10-2021,9,Paneer,Sudha,504.71,11.39,5748.6469,13,Refrigerated,03-09-2021,16-09-2021,178,10.99,1956.22,Maharashtra,Wholesale,326,45.68,153.39
Chandigarh,856.56,60,Large,04-04-2019,1,Milk,Raj,685.59,61.66,42273.4794,2,Polythene Packet,14-02-2019,16-02-2019,121,57.6,6969.6,Delhi,Retail,564,34.07,143.13
Chandigarh,953.65,17,Small,24-10-2019,2,Butter,Warana,851.39,53.25,45336.5175,26,Frozen,07-10-2019,02-11-2019,650,57.2,37180,Karnataka,Wholesale,201,15.53,178.11
Haryana,988.31,64,Large,05-11-2019,3,Cheese,Passion Cheese,966.23,16.23,15681.9129,53,Refrigerated,22-09-2019,14-11-2019,934,14.84,13860.56,West Bengal,Online,32,17.16,179.41
Chandigarh,489.3,20,Medium,17-05-2022,7,Lassi,Mother Dairy,841.76,71.15,59891.224,18,Refrigerated,08-04-2022,26-04-2022,497,73.12,36340.64,Telangana,Retail,344,56.46,21.74
Madhya Pradesh,900.7,86,Small,03-11-2021,7,Lassi,Sudha,273.71,80.52,22039.1292,13,Refrigerated,28-09-2021,11-10-2021,269,76.62,20610.78,Jharkhand,Wholesale,4,21.83,39.33
Maharashtra,141.84,95,Medium,03-02-2022,6,Curd,Amul,776.89,79.7,61918.133,7,Refrigerated,30-01-2022,06-02-2022,346,78.51,27164.46,West Bengal,Retail,430,95.84,110.44
West Bengal,984.53,24,Small,16-08-2019,4,Yogurt,Palle2patnam,730.59,90.32,65986.8888,27,Refrigerated,08-08-2019,04-09-2019,220,89.5,19690,Bihar,Retail,510,45.39,23.12
Delhi,535.28,25,Small,20-08-2021,4,Yogurt,Palle2patnam,41.58,60.85,2530.143,23,Refrigerated,09-08-2021,01-09-2021,36,57.9,2084.4,Maharashtra,Online,5,89.53,85.04
Gujarat,756.9,26,Large,25-02-2019,6,Curd,Amul,593.57,46.25,27452.6125,6,Refrigerated,22-02-2019,28-02-2019,54,50.4,2721.6,Uttar Pradesh,Online,539,53.4,160.3
Bihar,167.17,73,Medium,22-04-2019,8,Buttermilk,Amul,12.34,22.44,276.9096,12,Refrigerated,01-03-2019,13-03-2019,4,25.46,101.84,Gujarat,Retail,8,74.48,36.14
Telangana,802.73,22,Large,02-10-2022,7,Lassi,Mother Dairy,642.22,54.71,35135.8562,16,Refrigerated,07-09-2022,23-09-2022,73,57.23,4177.79,Telangana,Retail,569,20.8,37.93
Chandigarh,29.55,18,Small,20-12-2021,8,Buttermilk,Raj,831.2,79.32,65930.784,8,Refrigerated,07-12-2021,15-12-2021,397,81.93,32526.21,Tamil Nadu,Retail,434,17.69,110.72
West Bengal,593.94,34,Medium,14-04-2021,5,Ice Cream,Amul,865.02,47.56,41140.3512,27,Frozen,11-04-2021,08-05-2021,277,46.63,12916.51,Gujarat,Online,588,25.15,122.39
Uttar Pradesh,879.56,56,Small,06-02-2020,2,Butter,Parag Milk Foods,442.26,60.71,26849.6046,30,Refrigerated,02-01-2020,01-02-2020,172,56.15,9657.8,Tamil Nadu,Wholesale,270,77.08,73.4
West Bengal,990.93,39,Large,05-07-2021,2,Butter,Amul,362.45,80.31,29108.3595,27,Refrigerated,16-06-2021,13-07-2021,313,80.06,25058.78,Madhya Pradesh,Wholesale,49,10.42,101.82
Rajasthan,483.78,43,Small,14-08-2022,7,Lassi,Mother Dairy,797.2,13.62,10857.864,15,Refrigerated,08-07-2022,23-07-2022,465,16.92,7867.8,Tamil Nadu,Wholesale,332,54.86,154.13
Jharkhand,878.72,55,Large,25-11-2020,10,Ghee,Raj,336.73,38.9,13098.797,77,Ambient,15-10-2020,31-12-2020,212,41.34,8764.08,Kerala,Online,124,52.55,120.82
Haryana,804.18,15,Large,28-01-2021,7,Lassi,Raj,824.6,38.51,31755.346,13,Refrigerated,20-01-2021,02-02-2021,649,41.11,26680.39,Uttar Pradesh,Online,175,53.79,136.55
Chandigarh,747.09,91,Medium,01-10-2019,1,Milk,Amul,371.52,68.59,25482.5568,26,Tetra Pack,27-08-2019,22-09-2019,273,71.04,19393.92,Telangana,Online,98,11.66,72.5
Chandigarh,876.8,55,Large,02-12-2021,9,Paneer,Raj,723.16,53.05,38363.638,9,Refrigerated,13-11-2021,22-11-2021,128,52.99,6782.72,Delhi,Online,595,34.96,161.93
Telangana,116.93,94,Large,04-07-2019,6,Curd,Amul,29.23,57.65,1685.1095,6,Refrigerated,16-06-2019,22-06-2019,25,53.54,1338.5,Delhi,Retail,4,65.93,161.61
West Bengal,511.69,37,Medium,22-04-2021,6,Curd,Amul,52.54,22.47,1180.5738,5,Refrigerated,02-04-2021,07-04-2021,37,24.91,921.67,Delhi,Online,15,62.63,74.55
Chandigarh,53.82,71,Small,13-04-2019,8,Buttermilk,Mother Dairy,413.52,58.21,24070.9992,11,Refrigerated,11-04-2019,22-04-2019,145,60.91,8831.95,Delhi,Online,268,15.48,112.55
Tamil Nadu,732.3,61,Small,13-02-2021,8,Buttermilk,Sudha,649.16,93.28,60553.6448,8,Refrigerated,09-01-2021,17-01-2021,246,93.43,22983.78,Uttar Pradesh,Wholesale,403,56.26,48.44
Madhya Pradesh,689.82,16,Large,01-10-2022,2,Butter,Warana,171.23,12.66,2167.7718,25,Frozen,30-08-2022,24-09-2022,34,11.19,380.46,Karnataka,Online,137,12.51,29.81
Tamil Nadu,845.88,40,Large,05-02-2019,7,Lassi,Mother Dairy,934.87,84.61,79099.3507,17,Refrigerated,24-01-2019,10-02-2019,790,82.25,64977.5,Jharkhand,Wholesale,144,44.9,182.21
Chandigarh,154.09,40,Small,17-05-2020,3,Cheese,Passion Cheese,927.51,12.2,11315.622,70,Refrigerated,27-03-2020,05-06-2020,423,12.02,5084.46,Chandigarh,Wholesale,504,56.29,77.75
Delhi,82.83,81,Small,21-11-2022,4,Yogurt,Amul,718.35,62.86,45155.481,21,Frozen,17-11-2022,08-12-2022,23,63.47,1459.81,Delhi,Wholesale,695,50.25,30.99
Maharashtra,482.4,97,Small,05-04-2020,8,Buttermilk,Amul,402.07,36.97,14864.5279,10,Refrigerated,19-02-2020,29-02-2020,354,37.66,13331.64,Haryana,Retail,48,50.35,53.97
Madhya Pradesh,774.5,29,Medium,11-05-2020,2,Butter,Mother Dairy,572.47,31.03,17763.7441,35,Frozen,22-03-2020,26-04-2020,451,32.35,14589.85,Delhi,Retail,121,66.28,146.25
Chandigarh,982.86,11,Large,16-11-2022,5,Ice Cream,Dodla Dairy,381.81,38.22,14592.7782,29,Frozen,17-09-2022,16-10-2022,81,41.99,3401.19,Uttar Pradesh,Wholesale,300,43.59,83.65
Uttar Pradesh,121.92,92,Medium,03-06-2022,10,Ghee,Mother Dairy,866.5,83.54,72387.41,129,Ambient,10-04-2022,17-08-2022,735,86.67,63702.45,Delhi,Retail,131,53.07,136
Madhya Pradesh,789.75,56,Large,10-10-2022,2,Butter,Warana,974.38,45.04,43886.0752,30,Refrigerated,25-08-2022,24-09-2022,232,45.48,10551.36,Chandigarh,Retail,742,34.34,27.13
Delhi,460.37,34,Medium,01-11-2019,8,Buttermilk,Raj,16.39,89.16,1461.3324,14,Refrigerated,27-10-2019,10-11-2019,12,90.59,1087.08,Madhya Pradesh,Wholesale,4,18.85,105.46
Gujarat,257.48,46,Large,03-06-2022,7,Lassi,Mother Dairy,302.38,35.99,10882.6562,14,Refrigerated,05-04-2022,19-04-2022,105,33.9,3559.5,Rajasthan,Retail,197,57.75,147.6
Bihar,916.16,15,Small,18-10-2022,1,Milk,Amul,468.17,82.65,38694.2505,2,Polythene Packet,19-08-2022,21-08-2022,239,84.51,20197.89,Chandigarh,Retail,229,73.21,155.82
Haryana,181.15,91,Large,07-01-2019,7,Lassi,Amul,89.39,56.76,5073.7764,14,Refrigerated,13-12-2018,27-12-2018,2,54.78,109.56,Karnataka,Wholesale,87,11.95,178.18
Haryana,800.02,48,Medium,25-09-2021,4,Yogurt,Mother Dairy,577.87,57.71,33348.8777,26,Refrigerated,20-09-2021,16-10-2021,209,58.78,12285.02,Rajasthan,Wholesale,368,51.68,109.55
Kerala,606.35,14,Small,22-03-2021,1,Milk,Sudha,319.33,14.75,4710.1175,2,Polythene Packet,17-02-2021,19-02-2021,48,15.52,744.96,Haryana,Online,271,17.97,113.1
Tamil Nadu,882.59,31,Medium,10-01-2020,9,Paneer,Sudha,368.03,78.46,28875.6338,11,Refrigerated,30-11-2019,11-12-2019,151,82.57,12468.07,West Bengal,Retail,217,68.51,66.18
Uttar Pradesh,817.66,19,Large,26-09-2019,6,Curd,Mother Dairy,197.87,59.22,11717.8614,6,Refrigerated,12-08-2019,18-08-2019,185,61.01,11286.85,Bihar,Retail,12,65.21,130.63
Telangana,259.04,10,Small,06-04-2021,2,Butter,Mother Dairy,152.89,83.32,12738.7948,29,Refrigerated,09-02-2021,10-03-2021,105,84.53,8875.65,Haryana,Retail,47,33.69,166.41
Bihar,138.06,77,Medium,27-08-2020,2,Butter,Warana,476.93,71.61,34152.9573,33,Refrigerated,17-07-2020,19-08-2020,314,75.85,23816.9,Delhi,Wholesale,162,13.13,54
Chandigarh,986.54,64,Medium,11-02-2021,3,Cheese,Dynamix Dairies,225.09,43.3,9746.397,30,Frozen,30-12-2020,29-01-2021,77,42.56,3277.12,Kerala,Wholesale,148,89.68,190.9
Tamil Nadu,75.57,56,Small,17-08-2021,8,Buttermilk,Raj,322.99,67.71,21869.6529,10,Refrigerated,03-08-2021,13-08-2021,82,63.02,5167.64,Telangana,Wholesale,240,99.88,167.71
Jharkhand,994.75,81,Large,10-01-2021,3,Cheese,Britannia Industries,780.56,65.04,50767.6224,74,Refrigerated,01-12-2020,13-02-2021,158,61.49,9715.42,Delhi,Retail,622,35.54,164.83
West Bengal,380.14,43,Medium,12-10-2019,10,Ghee,Raj,426.31,97.92,41744.2752,128,Ambient,20-08-2019,26-12-2019,336,97.16,32645.76,Chandigarh,Retail,90,88.24,89.12
Bihar,956.17,11,Medium,04-01-2019,9,Paneer,Mother Dairy,321.71,58.91,18951.9361,11,Refrigerated,29-12-2018,09-01-2019,252,61.99,15621.48,Jharkhand,Online,69,51.68,148.23
Maharashtra,115.15,10,Small,09-12-2020,6,Curd,Mother Dairy,363.7,76.74,27910.338,6,Refrigerated,15-10-2020,21-10-2020,322,77.4,24922.8,Karnataka,Retail,41,58.4,145.72
Bihar,503.92,75,Large,24-07-2019,3,Cheese,Amul,715,44.92,32117.8,40,Refrigerated,07-07-2019,16-08-2019,450,47.56,21402,Haryana,Wholesale,265,81.44,182.69
